id,tender_number,score,recommendation,reasoning,scored_at
157,"2025/137/ه ب/ م ر -28 - اعادة طرح - 1",65,CONSIDER,"This Excellent/First grade tender has a moderate fee but faces competition, making it worth considering if SCC's pipeline is thin.","2026-05-19 02:08:03.710312"
158,"2026/5/ م س ق س أ س",20,SKIP,"The low fee and Second grade classification limit this tender's attractiveness for SCC.","2026-05-19 02:08:03.710756"
159,"2026/1070/و ص/م ا ن م-9",35,SKIP,"This tender is for maintenance work with a First/Second grade, which does not align with SCC's core capabilities.","2026-05-19 02:08:03.711195"
160,"2026/69/و ت ت/ م ر -4",20,SKIP,"The low fee and Second grade classification make this tender unsuitable for SCC.","2026-05-19 02:08:03.711604"
161,"2026/70/و ت ت/ م ر -5",20,SKIP,"The tender is for renovation work with a fee of 38.8 OMR and a grade of Second, which does not align with SCC's capabilities.","2026-05-19 02:08:13.788438"
162,"2026/7/م م ج ب/ م ر -7",85,STRONG_FIT,"This tender involves construction work with an Excellent and First grade, making it a strong match for SCC's capabilities.","2026-05-19 02:08:13.788897"
163,"2026/162/و ت ت/ م ر -4",35,SKIP,"The tender is for renovation work with a grade of Second, which is below SCC's operating scale.","2026-05-19 02:08:13.789230"
164,"2026/71/و ت ت/ م ر -6",20,SKIP,"The tender fee is only 10 OMR with a grade of Second, indicating it is a minor maintenance job not suitable for SCC.","2026-05-19 02:08:13.789610"
165,"2026/79/و ت ت/ م ر -3",20,SKIP,"This tender has a fee of 30 OMR and a grade of Second, categorizing it as a minor maintenance job.","2026-05-19 02:08:13.789958"
166,"2026/82/و ت ت/ م ر -6",20,SKIP,"With a fee of 25 OMR and a grade of Second, this tender is not aligned with SCC's core capabilities.","2026-05-19 02:08:13.790240"
167,"2026/83/و ت ت/ م ر -7",20,SKIP,"The tender fee is only 10 OMR and it is a Second grade tender, which is not suitable for SCC.","2026-05-19 02:08:13.790692"
168,"2026/80/و ت ت/ م ر -4",20,SKIP,"This tender is for renovation work with a fee of 10 OMR and a grade of Second, making it unsuitable for SCC.","2026-05-19 02:08:13.791102"
169,"2026/81/و ت ت/ م ر -5",20,SKIP,"The tender is for renovation works with a grade of Second and a fee below 30 OMR, making it a minor maintenance job not aligned with SCC's core capabilities.","2026-05-19 02:08:23.464687"
170,"2025/927/و ت ت/ م ر -232",70,STRONG_FIT,"This tender for construction work has a First grade classification and a reasonable fee, making it a good match for SCC's capabilities.","2026-05-19 02:08:23.465478"
171,"2026/89/و ت ت/ م ر -7",20,SKIP,"The tender is for maintenance work with a grade of Second and a fee below 30 OMR, categorizing it as a minor job outside of SCC's core focus.","2026-05-19 02:08:23.466081"
172,"2026/91/و ت ت/ م ر -8",35,SKIP,"Although the fee is higher, the Second grade classification limits the score, indicating it's below SCC's operating scale.","2026-05-19 02:08:23.466563"
173,"2026/11/و إ ت ع/ م ر -3",90,MUST_BID,"This tender for a large-scale project has an Excellent, First grade classification, aligning perfectly with SCC's core capabilities.","2026-05-19 02:08:23.467015"
174,"2024/276/و ت س/ م ر -69 - اعادة طرح - 3",30,SKIP,"The tender involves provision of materials with a grade of First, Second and a low fee, categorizing it as a minor maintenance job.","2026-05-19 02:08:23.467403"
175,"2026/8/ أسياد",35,SKIP,"The tender covers multiple grades including Second and Third, and the overall classification does not align with SCC's core capabilities.","2026-05-19 02:08:23.467804"
176,"2026/139/ج ت ع ت/ م ر -7",30,SKIP,"This tender is for rehabilitation work with a grade of Excellent, First but has a very low fee, indicating it's a minor job not suitable for SCC.","2026-05-19 02:08:23.468206"
177,"2026/116/و ت ت/م ع م و-1",20,SKIP,"The tender is for a Second grade project with a low fee of 10 OMR, making it a minor maintenance job that falls below SCC's operating scale.","2026-05-19 02:08:33.102543"
178,"2026/977/و ص/ م ر -72",20,SKIP,"Despite being a First grade tender, the low fee of 10 OMR and its classification as a minor maintenance job limit its strategic fit for SCC.","2026-05-19 02:08:33.102980"
179,"2026/52/و ز ث س م/ م ر -4",30,SKIP,"Although it is an Excellent grade tender, the low fee of 10 OMR and its classification as a minor maintenance job restrict its appeal for SCC.","2026-05-19 02:08:33.103291"
180,"2026/1/عُمران/ م ر -1",90,MUST_BID,"This Excellent grade tender aligns well with SCC's core capabilities and presents a strong win probability.","2026-05-19 02:08:33.103612"
181,"2025/454/و ع/ م ر -12",30,SKIP,"Despite being an Excellent grade tender, the low fee of 25 OMR and its focus on electromechanical works do not align with SCC's core capabilities.","2026-05-19 02:08:33.103924"
182,"2025/633/و ز ث س م/ م ر -71 - اعادة طرح - 1",20,SKIP,"The tender is for minor maintenance work with a fee below 30 OMR and a grade of Second/Third, which is below SCC's operating scale.","2026-05-19 02:10:25.730800"
183,"2026/1/ ش ص م ح",90,MUST_BID,"This tender aligns perfectly with SCC's core capabilities in construction and maintenance, and the Excellent/First grade enhances the win probability.","2026-05-19 02:10:00.305303"
184,"2025/2/ ش ص م ح",85,STRONG_FIT,"This tender involves construction of roads and bridges at an excellent grade, with no tracked competitors, making it a strong opportunity for SCC.","2026-05-19 02:10:25.732371"
185,"2025/69/ ا ع م م",50,CONSIDER,"While the tender is for a large-scale project in the core area of roads and bridges, the high number of bidders (18) indicates strong competition.","2026-05-19 02:10:25.732697"
186,"2025/791/و ز ث س م/ م ر -89 - اعادة طرح - 1",20,SKIP,"This tender is also for minor maintenance work with a fee below 30 OMR and a grade of Second/Third, which is not suitable for SCC.","2026-05-19 02:10:25.733004"
187,"2025/11/م م ب/ م ر -8 - اعادة طرح - 3",80,STRONG_FIT,"The tender is for construction work at an excellent grade, and while there are no tracked competitors, it represents a good fit for SCC's capabilities.","2026-05-19 02:10:25.733293"
188,"2025/12/م م ب/ م ر -9 - اعادة طرح - 1",20,SKIP,"This tender involves paving works with a fee below 30 OMR and a grade of First/Second, which is not aligned with SCC's core capabilities.","2026-05-19 02:10:25.733846"
189,"2026/2/و أ ش د/ م ر -2",20,SKIP,"The tender is for general maintenance work with a fee below 30 OMR and a grade of Second/Third, making it unsuitable for SCC.","2026-05-19 02:10:25.734163"
190,"2026/96/و ت ت/ م ر -2",20,SKIP,"This tender involves repair works with a fee of 25 OMR and a grade of Second, making it too small and not aligned with SCC's core capabilities.","2026-05-19 02:09:41.192659"
191,"2026/97/و ت ت/ م ر -3",35,SKIP,"Although the fee is slightly higher at 35 OMR, the grade remains Second, which limits SCC's potential engagement in this tender.","2026-05-19 02:09:41.193128"
192,"2025/179/و ت س/ م ر -44",30,WATCH,"This tender is for restoration work at a First/Second grade, but it does not align closely with SCC's core capabilities, warranting monitoring.","2026-05-19 02:10:25.734503"
193,"2026/3/و أ ش د/ م ر -3",20,SKIP,"The tender is for general maintenance work with a fee of 10 OMR and a grade of Second/Third, which is below SCC's operating scale.","2026-05-19 02:10:36.063023"
194,"2026/7/و ق ع/ م ر -7",70,STRONG_FIT,"This tender involves design and construction work with an Excellent/First grade, aligning well with SCC's capabilities and presenting a reasonable competition level.","2026-05-19 02:10:36.063600"
195,"2026/4/م م ظ/ م ر -3",30,SKIP,"The scope is for preparing a meeting room, which falls under small-scale maintenance work, resulting in a low maximum score.","2026-05-19 02:10:36.063944"
196,"2025/275/و ت ت/ م ر -86 - اعادة طرح - 1",35,SKIP,"Although the fee is above 30 OMR, the tender grade is Second, which limits the score due to SCC's classification.","2026-05-19 02:10:36.064247"
197,"2025/9/م ع م ص/ م ر -9 - اعادة طرح - 1",95,MUST_BID,"This tender involves core SCC capabilities in construction of ports, roads, and bridges with an Excellent and First grade classification, and very few competitors.","2026-05-19 02:09:08.085056"
198,"2026/41/ص ح ا/ق ت-34",30,SKIP,"The tender includes a mix of grades, but the presence of lower grades (Second, Third, Fourth) restricts the potential for SCC's participation.","2026-05-19 02:10:36.064534"
199,"2025/132/م م/ م ك -94- اعادة طرح - 1",20,SKIP,"This tender is for construction work with a fee of 27.5 OMR and a grade of Second/Third, which is below SCC's operational threshold.","2026-05-19 02:10:36.064962"
200,"2026/4/م م ج ب/ م ر -4",20,SKIP,"The tender involves development work with a fee of 10 OMR and a grade of Second/Third, making it unsuitable for SCC.","2026-05-19 02:10:36.065288"
201,"2026/453/و ص/ م ر -38",50,CONSIDER,"This tender is for remaining construction work with an Excellent/First grade, but the competition is strong with notable bidders like Galfar and L&T.","2026-05-19 02:10:36.065694"
202,"2026/35/ص ح ا/ق ت-30",30,SKIP,"This tender is for electromechanical and telecommunications contracting, which is outside SCC's core capabilities.","2026-05-19 02:10:45.692326"
203,"2026/1049/و ص/م إ ر م-88",70,STRONG_FIT,"While it is a construction and maintenance tender, the historical context shows reasonable competition and potential alignment with SCC's capabilities.","2026-05-19 02:10:45.692935"
204,"2026/45/و ت ت/ م ر -9",20,SKIP,"This tender is a minor maintenance job with a fee of 30 OMR and a grade of Second, making it below SCC's operating scale.","2026-05-19 02:10:45.693239"
205,"2026/73/و ز ث س م/ م ر -7",20,SKIP,"This tender is for construction of ports, roads, and bridges but has a grade of Second and a low fee of 25 OMR, limiting its strategic fit.","2026-05-19 02:10:45.693514"
206,"2026/46/و ت ت/م ع م ش ش-2",20,SKIP,"This tender is a minor maintenance job with a fee of 10 OMR and a grade of Second, making it unsuitable for SCC.","2026-05-19 02:10:45.693800"
207,"2026/707/و ص/ م ر -51",60,CONSIDER,"Although it is in the electromechanical category, the excellent grade and competitive landscape make it worth considering.","2026-05-19 02:10:45.694087"
208,"2025/664/و ز ث س م/ م ر -75 - اعادة طرح - 1",20,SKIP,"This tender is for pipeline network construction but has a grade of Second and a low fee of 10 OMR, making it below SCC's operating scale.","2026-05-19 02:10:45.694340"
209,"2026/13/و ت س/ م ر -2",20,SKIP,"This tender is for maintenance and restoration work with a grade of Second and a low fee of 10 OMR, which is not aligned with SCC's capabilities.","2026-05-19 02:10:45.694606"
210,"2026/3/ا ع م م",90,MUST_BID,"This tender for asphalt road construction aligns perfectly with SCC's core capabilities and has no tracked competitors, indicating a strong win probability.","2026-05-19 02:10:56.139559"
211,"2026/4/ا ع م م",85,STRONG_FIT,"The flood protection construction tender is a good match for SCC's expertise, with a reasonable number of bidders and excellent grade classification.","2026-05-19 02:10:56.140209"
212,"2026/28/و ت ت/ م ر -5",20,SKIP,"This tender is for minor maintenance work with a low fee and a grade of Second/Third, which is below SCC's operating scale.","2026-05-19 02:10:56.140659"
213,"2026/140/و ص/ م ر -13",20,SKIP,"Similar to the previous tender, this maintenance work falls under Second/First grade and has a low fee, making it unsuitable for SCC.","2026-05-19 02:10:56.141078"
214,"2026/10/ه ب/ م ر -1",20,SKIP,"This tender involves minor construction and maintenance work with a low fee and Second/Third grade, which does not align with SCC's capabilities.","2026-05-19 02:10:56.141454"
215,"2025/39/م م ش ش/ م ر -16 - اعادة طرح - 1",80,STRONG_FIT,"The design and construction tender has a First grade classification and aligns with SCC's core capabilities, although it has a higher number of bidders.","2026-05-19 02:10:56.141835"
216,"2025/24/ أوباز",30,WATCH,"Despite the excellent grade, the high fee and presence of strong competitors like Galfar make this tender marginally fit for SCC.","2026-05-19 02:10:56.142238"
217,"2026/4/ا ع ع /ق م-4",0,SKIP,"This tender is for supply work, which is outside SCC's core capabilities and does not align with their strategic focus.","2026-05-19 02:10:56.142631"
218,"2026/170/و ص/م ص-1",20,SKIP,"The tender is for a supply of wooden doors with a fee of 10 OMR and a grade of Second, which is below SCC's operating scale.","2026-05-19 02:11:06.827787"
219,"2026/214/و ص/م ع م خ م-35",20,SKIP,"This tender is for expansion and renovation work with a fee of 10 OMR and a grade of Second, making it too small for SCC's capabilities.","2026-05-19 02:11:06.828443"
220,"2026/2/ج س ق/ م ر -2",20,SKIP,"The tender involves construction and maintenance work with a fee of 10 OMR and a grade of Second, which is not aligned with SCC's core capabilities.","2026-05-19 02:11:06.828809"
221,"2026/4/و ق ع/ م ر -4",70,STRONG_FIT,"This tender for construction work has an Excellent, First grade and a fee of 25 OMR, aligning well with SCC's capabilities.","2026-05-19 02:11:06.829300"
222,"2025/610/و ت ت/ م ر -187 - اعادة طرح - 1",20,SKIP,"The tender is for construction work with a fee of 10 OMR and a grade of Second, which is below SCC's operating scale.","2026-05-19 02:11:06.829672"
223,"2025/273/و ت ت/ م ر -84 - اعادة طرح - 1",35,SKIP,"This tender has a fee of 30.8 OMR and a grade of Second, which is still too low for SCC's capabilities despite being above the 30 OMR threshold.","2026-05-19 02:11:06.829980"
224,"2025/274/و ت ت/ م ر -85 - اعادة طرح - 1",20,SKIP,"The tender is for construction work with a fee of 10 OMR and a grade of Second, which does not meet SCC's operational standards.","2026-05-19 02:11:06.830353"
225,"2026/2/ا ع م م (داخلى)/ م ر -2",70,STRONG_FIT,"This renovation and maintenance tender has a First grade and a fee of 35 OMR, making it a reasonable opportunity for SCC.","2026-05-19 02:11:06.830740"
226,"2026/4/و م/ م ر -4",20,SKIP,"The tender is for interior renovation with a fee below 30 OMR and a grade of Second, which is below SCC's operating scale.","2026-05-19 02:11:17.387021"
227,"2026/171/و ص/م ع خ ص م-5",20,SKIP,"This tender is also for construction and maintenance with a fee below 30 OMR and a grade of Second, making it unsuitable for SCC.","2026-05-19 02:11:17.387657"
228,"2025/180/و ت س/ م ر -45",20,SKIP,"The tender is for restoration work with a fee of 10 OMR and a grade of Second, which is too small for SCC's capabilities.","2026-05-19 02:11:17.388180"
229,"2026/9/و ص/ م ر -3",85,STRONG_FIT,"This tender involves modification and maintenance work with an Excellent grade, aligning well with SCC's capabilities.","2026-05-19 02:11:17.388620"
230,"2026/29/و ت ت/ م ر -6",20,SKIP,"The tender is for addition works with a fee of 10 OMR and a grade of Second, which is below SCC's operating scale.","2026-05-19 02:11:17.389098"
231,"2026/27/و ت ت/ م ر -4",20,SKIP,"This tender is for addition work with a fee of 26 OMR and a grade of Second, making it unsuitable for SCC.","2026-05-19 02:11:17.389487"
232,"2026/1/و أ ش د/ م ر -1",30,SKIP,"The tender is for a design and build project with a fee of 10 OMR and a grade of First, but the scope is not aligned with SCC's core capabilities.","2026-05-19 02:11:17.389973"
233,"2026/2/م م/ م ك-1",70,STRONG_FIT,"This tender involves maintenance of roads with an Excellent grade and a fee of 200 OMR, making it a good match for SCC's capabilities despite competition.","2026-05-19 02:11:17.390393"
234,"2026/4/م م/ م ك-3",20,SKIP,"The tender is for minor maintenance work with a fee of 10 OMR and a grade of Second/Third, which is below SCC's operating scale.","2026-05-19 02:11:28.140840"
235,"2026/8/م م/ م ر -3",20,SKIP,"Similar to the previous tender, this is a minor maintenance job with a fee of 10 OMR and a grade of Second/Third, making it unsuitable for SCC.","2026-05-19 02:11:28.142364"
236,"2025/50/ ا ع م م -اعادة طرح- 1",0,SKIP,"This tender falls outside SCC's core capabilities as it involves electromechanical and telecommunications contracting.","2026-05-19 02:11:28.142699"
237,"2025/217/و ن ت ت م/ م ر -61",20,SKIP,"With a fee of 10 OMR and a grade of Second/Third, this tender is too small and not aligned with SCC's capabilities.","2026-05-19 02:11:28.144115"
238,"2025/128/م م/ م ر -36",35,WATCH,"Although it has a fee of 26 OMR and a grade of First/Second, the scope is still marginally aligned with SCC's capabilities.","2026-05-19 02:11:28.144486"
239,"2026/13/ب ظ/ م ر -12",20,SKIP,"This tender is for minor maintenance work with a fee of 10 OMR and a grade of Second/Third, making it unsuitable for SCC.","2026-05-19 02:11:28.144892"
240,"2025/830/و ز ث س م/ م ر -94",90,MUST_BID,"This tender aligns perfectly with SCC's core capabilities in construction of ports, roads, and bridges, and has an Excellent/First grade.","2026-05-19 02:11:28.145194"
241,"2025/141/م م/ م ر -41",85,STRONG_FIT,"This tender involves remedial works to bridges and has an Excellent/First grade, making it a strong fit for SCC.","2026-05-19 02:11:28.145465"
242,"2025/4859/و ص/ م ر -404",85,STRONG_FIT,"The tender is in the construction category with an Excellent grade, indicating a good alignment with SCC's capabilities, despite moderate competition.","2026-05-19 02:11:37.589494"
243,"2025/4996/و ص/ م ر -424",20,SKIP,"This tender has a fee below 30 OMR and is classified as Second/Third grade, making it too small for SCC's operational scale.","2026-05-19 02:11:37.590438"
244,"2025/176/و ت س/ م ر -42",85,STRONG_FIT,"With an Excellent grade and a good fee, this tender aligns well with SCC's core capabilities, although competition is present.","2026-05-19 02:11:37.591375"
245,"2025/10/م ع م ص/ م ر -10",85,STRONG_FIT,"This Excellent grade tender offers a substantial fee and aligns with SCC's construction capabilities, despite a higher number of bidders.","2026-05-19 02:11:37.591807"
246,"2025/8/م ع م ص/ م ر -8",90,MUST_BID,"This tender involves large-scale infrastructure construction with an Excellent grade, making it a prime opportunity for SCC.","2026-05-19 02:11:37.592240"
247,"2024/45/م م ب/ م ر -25 - اعادة طرح - 3",20,SKIP,"The tender is classified as Second/Third grade with a low fee, making it unsuitable for SCC's capabilities.","2026-05-19 02:11:37.592655"
248,"2025/4904/و ص/ م ر -415 - اعادة طرح - 2",20,SKIP,"This tender has a fee below 30 OMR and is classified as First/Second grade, which is not aligned with SCC's operational scale.","2026-05-19 02:11:37.592959"
249,"2025/4885/و ص/ م ر -408",20,SKIP,"Despite having an Excellent grade, the low fee and classification as First/Second makes this tender too small for SCC.","2026-05-19 02:11:37.593227"
250,"2025/4884/و ص/ م ر -407",30,SKIP,"Although the tender is classified as Excellent, the fee is below 30 OMR, which limits its strategic fit for SCC.","2026-05-19 02:11:47.006548"
251,"2026/7/ص ح ا/ق ت-6",0,SKIP,"This tender is outside SCC's core capabilities as it focuses on electromechanical and telecommunications maintenance.","2026-05-19 02:11:47.008092"
252,"2025/632/و ت ت/ م ر -190 - اعادة طرح - 1",35,SKIP,"The tender grade is only First and Second, which is below SCC's operating scale, limiting its strategic fit.","2026-05-19 02:11:47.008440"
253,"2025/81/و إ ت ع/ م ر -26",20,SKIP,"While the category aligns with SCC's capabilities, the fee is below 30 OMR, making it a minor maintenance job.","2026-05-19 02:11:47.008750"
254,"2025/723/و ز ث س م/ م ر -85",30,SKIP,"Despite being in a relevant category, the low fee of 10 OMR classifies this as a minor job, limiting its attractiveness.","2026-05-19 02:11:47.009532"
255,"2025/192/م م/ م ك-143",35,SKIP,"The tender grade is only First and Second, which is below SCC's operating scale, making it less appealing.","2026-05-19 02:11:47.009922"
256,"2024/64/م م/ م ك -37- اعادة طرح - 3",20,SKIP,"Although it is in a relevant category, the low fee of 10 OMR limits its strategic fit for SCC.","2026-05-19 02:11:47.010275"
257,"2025/172/و ت س/ م ر -41 - اعادة طرح - 1",20,SKIP,"Despite being classified as Excellent, the low fee of 10 OMR classifies this as a minor job, limiting its attractiveness.","2026-05-19 02:11:47.010573"
258,"2026/1/ أسياد",35,SKIP,"The tender includes a mix of grades with Second and Third classifications, which are below SCC's operating scale.","2026-05-19 02:11:57.196065"
259,"2025/671/و ت أ/ م ر -85",20,SKIP,"The fee is below 30 OMR and the grade is First, which limits the project's scope and aligns poorly with SCC's capabilities.","2026-05-19 02:11:57.196575"
260,"2026/20/ع ف/ش ص م ط-2",35,SKIP,"The tender is categorized under Construction and Maintenance with a First grade, but lacks specific alignment with SCC's core capabilities.","2026-05-19 02:11:57.197005"
261,"2025/66/ع ف/ا خ ا ء-5",35,SKIP,"Although the grade is Excellent, the scope appears to be maintenance-related, which does not align with SCC's core infrastructure capabilities.","2026-05-19 02:11:57.197367"
262,"2025/65/ع ف/ا خ ا ء-4",35,SKIP,"The Excellent grade does not compensate for the likely small-scale nature of the work, which is not a strategic fit for SCC.","2026-05-19 02:11:57.197728"
263,"2025/64/ع ف/ا خ ا ء-3",35,SKIP,"Similar to others, the Excellent grade does not indicate a core capability match for SCC's large-scale infrastructure focus.","2026-05-19 02:11:57.198060"
264,"2025/63/ع ف/ا خ ا ء-2",35,SKIP,"The scope of hiring an electrician does not align with SCC's core competencies in large civil infrastructure.","2026-05-19 02:11:57.198377"
265,"2025/61/ع ف/ا خ ا ء-1",35,SKIP,"The project involves block fixing, which is a minor maintenance task and not aligned with SCC's strategic focus.","2026-05-19 02:11:57.198786"
266,"2025/18/ع ف/نبراس-1",30,SKIP,"This tender involves construction and maintenance work but falls under small-scale projects, limiting its strategic fit for SCC.","2026-05-19 02:12:07.533823"
267,"2023/1/ع ف/ش ا ل م-1",30,SKIP,"The scope is related to waterproofing, which is not a core capability of SCC, and it is a small-scale maintenance job.","2026-05-19 02:12:07.535373"
268,"2026/42/م م/ م ر -8",90,MUST_BID,"This tender aligns perfectly with SCC's core capabilities in road construction, and the historical context shows a favorable win probability.","2026-05-19 02:12:07.535850"
269,"2026/40/م م/ م ك-33",20,SKIP,"The tender is for civil works with a grade of Second/Third and a low fee, making it below SCC's operational scale.","2026-05-19 02:12:07.536344"
270,"2026/18/م م/ م ك -13- اعادة طرح - 1",0,SKIP,"This tender involves HVAC maintenance, which is outside SCC's core capabilities and has a low fee.","2026-05-19 02:12:07.536821"
271,"2026/88/ه ب/ م ر -17",20,SKIP,"The tender is for construction and maintenance work with a grade of Second/Third and a low fee, making it unsuitable for SCC.","2026-05-19 02:12:07.537296"
272,"2025/4496/و ص/م ع ص ب م -4- اعادة طرح - 2",20,SKIP,"This tender is for maintenance works with a grade of First/Second and a low fee, which is not aligned with SCC's capabilities.","2026-05-19 02:12:07.537759"
273,"2026/63/ب ظ/ م ر -38",20,SKIP,"Similar to the previous tender, it is also graded Second/Third with a low fee, not matching SCC's capabilities.","2026-05-19 02:09:50.970061"
274,"2026/62/ب ظ/ م ر -37",20,SKIP,"The tender is only graded Second/Third and has a low fee, making it unsuitable for SCC's scale.","2026-05-19 02:09:50.969642"
275,"2026/1735/و ص/ م ر -118",70,STRONG_FIT,"This tender is for electromechanical works, which is a good fit for SCC's capabilities, and the fee is reasonable.","2026-05-19 02:12:07.538229"
276,"2026/10/ أوباز",35,SKIP,"The tender is classified as Second, Third, and Fourth, which is below SCC's operating scale, limiting the maximum score.","2026-05-19 02:12:16.483611"
277,"2026/1723/و ص/ م ر -117",20,SKIP,"Although the grade is Excellent, First, the fee is below 30 OMR, which limits the maximum score due to the minor scale of the project.","2026-05-19 02:12:16.484122"
278,"2026/29/م م/ م ك-23",20,SKIP,"The tender is classified as Second and Third with a low fee, making it a minor maintenance job not aligned with SCC's core capabilities.","2026-05-19 02:12:16.484510"
279,"2025/9/م م/ م ك -7- اعادة طرح - 2",20,SKIP,"This tender is also classified as Second and Third with a low fee, indicating it is a minor maintenance job below SCC's operating scale.","2026-05-19 02:12:16.484816"
280,"2026/37/م م/ م ك-30",35,SKIP,"Despite being classified as First and Second, the low fee and minor scale of the project limit the score.","2026-05-19 02:12:16.485165"
281,"2026/37/ش ت ن ع/ق م ش -30- اعادة طرح - 1",0,SKIP,"The tender is for maintenance of greenhouses, which is outside SCC's core capabilities.","2026-05-19 02:12:16.485473"
282,"2026/33/م م/ م ك-26",20,SKIP,"This tender is classified as Second and Third with a low fee, indicating it is a minor maintenance job not aligned with SCC's core capabilities.","2026-05-19 02:12:16.485759"
283,"2026/27/م م/ م ك-21",85,STRONG_FIT,"The tender is classified as Excellent and First, with a reasonable fee and alignment with SCC's core capabilities in construction of ports, roads, and bridges.","2026-05-19 02:12:16.486050"
284,"2026/1700/و ص/م ع خ ص د-16",30,SKIP,"Although the tender grade is Excellent, First, the fee is below 30 OMR and falls under minor maintenance work, limiting its strategic fit for SCC.","2026-05-19 02:12:27.577685"
285,"2026/9/ أوباز",20,SKIP,"The tender grade includes Second, Third, and Fourth classifications, and the fee is below 30 OMR, making it unsuitable for SCC's capabilities.","2026-05-19 02:12:27.578293"
286,"2026/259/و ت ت/ م ر -13",20,SKIP,"This tender is only graded as Second, and with a fee of 29.5 OMR, it is not aligned with SCC's operational scale.","2026-05-19 02:12:27.578733"
287,"2026/253/و ت ت/ م ر -12",20,SKIP,"Similar to the previous tender, it is graded Second and has a low fee, making it a poor fit for SCC.","2026-05-19 02:12:27.579078"
288,"2026/252/و ت ت/ م ر -11",30,SKIP,"Despite the higher fee, it is still a Second grade tender, which is below SCC's operational standards.","2026-05-19 02:12:27.579475"
289,"2026/1685/و ص/ م ر -115",0,SKIP,"Although graded Excellent, the low fee and maintenance focus make this tender unsuitable for SCC's core capabilities.","2026-05-19 02:08:44.131765"
290,"2026/1665/و ص/م ع خ ص ب-1",0,SKIP,"This tender is for renovation works and is graded Second, which does not align with SCC's core capabilities.","2026-05-19 02:08:44.132099"
291,"2025/217/و ن ت ت م/ م ر -61 - اعادة طرح - 1",20,SKIP,"This tender involves road safety enhancements but is also classified as Second/Third grade with a low fee of 10 OMR, making it unsuitable for SCC.","2026-05-19 02:10:07.624424"
292,"2026/1643/و ص/ م ر -109",85,STRONG_FIT,"This tender is graded Excellent and involves design and build work, aligning well with SCC's capabilities despite being in the maintenance category.","2026-05-19 02:08:44.132707"
293,"2026/1620/و ص/م ع خ ص و م-17",20,SKIP,"The tender is for refurbishment work with a fee below 30 OMR and is classified as Second/Third grade, which is below SCC's operating scale.","2026-05-19 02:10:07.623756"
294,"2026/44/و إ ت ع/ م ر -12",75,STRONG_FIT,"While the tender is in the electromechanical category, it holds an Excellent and First grade, indicating a significant project scale and potential for a competitive bid.","2026-05-19 02:08:55.671032"
295,"2026/2/م ع م ص/ م ر -2",35,WATCH,"The tender includes multiple grades, but the scope is unclear and may not align with SCC's core capabilities. Monitoring is recommended due to the lack of a fee and competition level.","2026-05-19 02:09:18.675837"
296,"2026/187/و ز ث س م/إ ز م م م -4- اعادة طرح - 2",20,SKIP,"This tender is for construction maintenance with a low fee and Second/Third grade, making it unsuitable for SCC.","2026-05-11 02:11:02"
297,"2026/289/و ز ث س م/م ع ب ز-32",20,SKIP,"The tender is for maintenance works with a fee below 30 OMR and a grade of First and Second, making it too small for SCC's operational scale.","2026-05-11 02:11:12"
298,"2026/288/و ز ث س م/م ع ش ا م م-26",20,SKIP,"This tender is for removal of existing glass, categorized under Third and Fourth grades, which is below SCC's operating scale.","2026-05-11 02:11:12"
299,"2026/22/م و/ق ص-7",30,SKIP,"This involves services related to repairing and polishing, which are outside SCC's core civil infrastructure capabilities.","2026-05-11 02:11:12"
300,"2026/1712/و ص/م ن ز و-14",20,SKIP,"The tender fee is below 30 OMR and falls under Second/Third grade, making it too small for SCC's operational scale.","2026-05-19 02:09:18.676348"
301,"2026/51/و إ ت ع/ م ر -15",35,WATCH,"The tender is of First and Second grade with a fee of 90 OMR, but the competition is strong and may not align with SCC's scale.","2026-05-19 02:09:18.677525"
302,"2026/50/و إ ت ع/ م ر -14",35,WATCH,"Similar to the previous tender, this one has strong competition and a fee of 90 OMR, making it marginally fit for SCC.","2026-05-19 02:09:18.677816"
303,"2026/27/و ت ت/ م ر -4 - اعادة طرح - 1",20,SKIP,"The tender is below the minimum fee threshold and falls under Second/Third grade, which is not suitable for SCC's capabilities.","2026-05-19 02:09:18.678160"
304,"2026/1778/و ص/م ص م-160",35,WATCH,"While this tender is classified as First/Second grade, it falls under construction and maintenance, which is a marginal fit for SCC's core capabilities. Monitoring is advised.","2026-05-19 02:10:07.625440"
305,"2026/120/و ع/ م ر -2",30,SKIP,"The tender is for electromechanical and telecommunications work, which is outside SCC's core capabilities.","2026-05-19 02:09:30.917037"
306,"2026/6/م م ظ/ م ر -5",85,STRONG_FIT,"This tender involves the design and paving of roads, aligning well with SCC's core competencies and has a reasonable competition level.","2026-05-19 02:09:30.917587"
307,"2026/8/م م ظ/ م ر -7",20,SKIP,"The tender fee is below 30 OMR and the grade is First, which limits its attractiveness for SCC.","2026-05-19 02:09:30.917957"
308,"2026/7/م م ظ/ م ر -6",20,SKIP,"Similar to the previous tender, the low fee and First grade make it unattractive for SCC.","2026-05-19 02:09:30.918283"
309,"2026/51/م م/ م ك-43",20,SKIP,"The tender is classified as Second/Third grade and has a low fee, making it unsuitable for SCC.","2026-05-19 02:09:30.919114"
310,"2026/4/م م/ م ك -3- اعادة طرح - 1",85,STRONG_FIT,"This tender involves significant construction work in SCC's core areas and has a competitive fee structure.","2026-05-19 02:09:30.919543"
